time:2023-06-02 17:51:01, log_content:generating version:autra_train_v2.13/, !
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156569567232-1660897728510.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155971336192-1660897453920.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129279059968-1661312671110.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155899002880-1660896501328.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129205665792-1661312633010.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156110815232-1660896302410.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155865954304-1660898574410.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129284571136-1661313954627.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156417261568-1660898530510.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155791767552-1660897895227.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155603286016-1660895654910.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156573743104-1660898391610.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156103213056-1660895927227.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156401008640-1660895683128.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156629841920-1660895864910.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536155855480832-1660895656210.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536156355389440-1660897745910.bin!
time:2023-06-02 21:05:10, log_content:version:tos:perception-dataset-v2/autra_train_v2.18/, miss frame:47536129136197632-1661313402828.bin!
